SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022
162,6,0,44000,0,0,0,A,Los Angeles city,California,3898767,3895836,3837986,3822238
162,6,0,44028,0,0,0,A,Los Banos city,California,45528,45675,46688,47044
162,6,0,44112,0,0,0,A,Los Gatos town,California,33539,33427,32582,32402
162,6,0,44364,0,0,0,A,Loyalton city,California,740,738,755,738
162,6,0,44574,0,0,0,A,Lynwood city,California,67256,66815,64824,64086
162,6,0,44826,0,0,0,A,McFarland city,California,14179,13992,14086,14019
162,6,0,45022,0,0,0,A,Madera city,California,66229,66461,67865,68050
162,6,0,45246,0,0,0,A,Malibu city,California,10649,10617,10416,10370
162,6,0,45358,0,0,0,A,Mammoth Lakes town,California,7200,7222,7277,7093
162,6,0,45400,0,0,0,A,Manhattan Beach city,California,35503,35377,34601,34137
162,6,0,45484,0,0,0,A,Manteca city,California,83507,83834,85716,86928
162,6,0,45736,0,0,0,A,Maricopa city,California,1023,1023,1023,1020
162,6,0,45778,0,0,0,A,Marina city,California,22348,22322,22115,22503
162,6,0,46114,0,0,0,A,Martinez city,California,37273,37187,36871,36447
162,6,0,46170,0,0,0,A,Marysville city,California,12841,12854,12715,12704
162,6,0,46492,0,0,0,A,Maywood city,California,25123,25040,24522,24122
162,6,0,46828,0,0,0,A,Mendota city,California,12595,12647,12734,12618
162,6,0,46842,0,0,0,A,Menifee city,California,102526,103158,106365,109399
162,6,0,46870,0,0,0,A,Menlo Park city,California,33784,33669,32549,32295
162,6,0,46898,0,0,0,A,Merced city,California,86370,86648,89515,91563
162,6,0,47486,0,0,0,A,Millbrae city,California,23213,23128,22317,22071
162,6,0,47710,0,0,0,A,Mill Valley city,California,14230,14211,14157,14006
162,6,0,47766,0,0,0,A,Milpitas city,California,80271,80127,78218,77738
162,6,0,48256,0,0,0,A,Mission Viejo city,California,93639,93464,92436,91776
162,6,0,48354,0,0,0,A,Modesto city,California,218467,218654,218948,218069
162,6,0,48648,0,0,0,A,Monrovia city,California,37937,37833,37456,36893
162,6,0,48690,0,0,0,A,Montague city,California,1219,1216,1223,1209
162,6,0,48788,0,0,0,A,Montclair city,California,37886,37904,38040,37714
162,6,0,48816,0,0,0,A,Montebello city,California,62623,62410,61125,60569
162,6,0,48872,0,0,0,A,Monterey city,California,30230,30184,29952,29571
162,6,0,48914,0,0,0,A,Monterey Park city,California,61109,60891,59586,58554
162,6,0,48956,0,0,0,A,Monte Sereno city,California,3481,3471,3389,3343
162,6,0,49138,0,0,0,A,Moorpark city,California,36290,36228,35974,35514
162,6,0,49187,0,0,0,A,Moraga town,California,16877,16868,16834,16707
162,6,0,49270,0,0,0,A,Moreno Valley city,California,208640,209107,211564,211924
162,6,0,49278,0,0,0,A,Morgan Hill city,California,45481,45492,45386,44973
162,6,0,49362,0,0,0,A,Morro Bay city,California,10757,10751,10785,10696
162,6,0,49670,0,0,0,A,Mountain View city,California,82534,82430,81675,81059
162,6,0,49852,0,0,0,A,Mount Shasta city,California,3224,3219,3236,3192
162,6,0,50076,0,0,0,A,Murrieta city,California,110953,111318,113006,113783
162,6,0,50258,0,0,0,A,Napa city,California,79251,79039,78855,78315
162,6,0,50398,0,0,0,A,National City city,California,56172,56115,55927,55550
162,6,0,50734,0,0,0,A,Needles city,California,4930,4921,4897,4858
162,6,0,50874,0,0,0,A,Nevada City city,California,3147,3147,3172,3112
162,6,0,50916,0,0,0,A,Newark city,California,47525,47612,47134,47312
162,6,0,51140,0,0,0,A,Newman city,California,12389,12387,12367,12272
162,6,0,51182,0,0,0,A,Newport Beach city,California,85235,85208,84713,83993
162,6,0,51560,0,0,0,A,Norco city,California,26299,25394,24671,25042
162,6,0,52526,0,0,0,A,Norwalk city,California,102762,102410,100313,98537
162,6,0,52582,0,0,0,A,Novato city,California,53206,53100,52904,52184
162,6,0,52694,0,0,0,A,Oakdale city,California,23182,23201,23247,23176
162,6,0,53000,0,0,0,A,Oakland city,California,440660,440873,436291,430553
162,6,0,53070,0,0,0,A,Oakley city,California,43354,43468,43821,44688
162,6,0,53322,0,0,0,A,Oceanside city,California,174048,173914,172919,172199
162,6,0,53476,0,0,0,A,Ojai city,California,7627,7622,7604,7540
162,6,0,53896,0,0,0,A,Ontario city,California,175266,175852,177845,179061
162,6,0,53980,0,0,0,A,Orange city,California,139902,139428,137295,136178
162,6,0,54008,0,0,0,A,Orange Cove city,California,9649,9639,9615,9525
162,6,0,54232,0,0,0,A,Orinda city,California,19503,19516,19503,19355
162,6,0,54274,0,0,0,A,Orland city,California,8306,8302,8311,8217
162,6,0,54386,0,0,0,A,Oroville city,California,20104,19958,19935,20041
162,6,0,54652,0,0,0,A,Oxnard city,California,202067,202244,202054,200415
162,6,0,54806,0,0,0,A,Pacifica city,California,38633,38496,37155,36517
162,6,0,54848,0,0,0,A,Pacific Grove city,California,15100,15075,15000,14791
162,6,0,55156,0,0,0,A,Palmdale city,California,169415,168863,165452,163463
162,6,0,55184,0,0,0,A,Palm Desert city,California,51167,51200,51591,51583
162,6,0,55254,0,0,0,A,Palm Springs city,California,44581,44624,45079,45223
162,6,0,55282,0,0,0,A,Palo Alto city,California,68586,68385,66735,66010
162,6,0,55380,0,0,0,A,Palos Verdes Estates city,California,13353,13309,13026,12792
162,6,0,55520,0,0,0,A,Paradise town,California,4764,4744,5274,6516
162,6,0,55618,0,0,0,A,Paramount city,California,53748,53578,52485,51653
162,6,0,55856,0,0,0,A,Parlier city,California,14579,14616,14689,14554
162,6,0,56000,0,0,0,A,Pasadena city,California,138719,138304,135932,134211
162,6,0,56112,0,0,0,A,Patterson city,California,23784,23788,23813,23833
162,6,0,56700,0,0,0,A,Perris city,California,78705,78861,79825,80263
162,6,0,56784,0,0,0,A,Petaluma city,California,59778,59776,59589,58652
162,6,0,56924,0,0,0,A,Pico Rivera city,California,62079,61890,60696,59781
162,6,0,56938,0,0,0,A,Piedmont city,California,11277,11251,11017,10811
162,6,0,57288,0,0,0,A,Pinole city,California,19029,19003,18858,18582
162,6,0,57414,0,0,0,A,Pismo Beach city,California,8073,8059,8041,8044
162,6,0,57456,0,0,0,A,Pittsburg city,California,76409,76605,76662,77572
162,6,0,57526,0,0,0,A,Placentia city,California,51814,51723,51236,51951
162,6,0,57540,0,0,0,A,Placerville city,California,10742,10732,10816,10664
162,6,0,57764,0,0,0,A,Pleasant Hill city,California,34629,34600,34404,33913
162,6,0,57792,0,0,0,A,Pleasanton city,California,79856,79676,77904,76689
162,6,0,57834,0,0,0,A,Plymouth city,California,1078,1079,1099,1112
162,6,0,57876,0,0,0,A,Point Arena city,California,463,466,472,465
162,6,0,58072,0,0,0,A,Pomona city,California,151445,151033,147125,146017
162,6,0,58240,0,0,0,A,Porterville city,California,62629,62666,62788,62998
